country,cluster,cluster_name,renewable_percent,fossil_percent,ghg_per_capita,energy_per_capita
Kenya,1,Fossil Dependent,7.152,87.331,0.022360365016611403,1634.881
Kiribati,1,Fossil Dependent,7.152,87.331,0.15577901189372756,2424.593
Kyrgyzstan,1,Fossil Dependent,7.152,87.331,0.3357533476734712,6373.353
Laos,1,Fossil Dependent,7.152,87.331,1.568455502018464,9379.786
Latvia,0,Transitioning Nations,24.165,75.835,0.5462472548423758,22845.332
Lebanon,1,Fossil Dependent,7.152,87.331,1.0842707466026038,14689.979
Lesotho,1,Fossil Dependent,7.152,87.331,0.004421748102738433,1755.905
Liberia,1,Fossil Dependent,7.152,87.331,0.03042214336549144,508.531
Libya,2,Fossil Dependent,7.152,87.331,4.054558407014036,28791.734
Lithuania,1,Fossil Dependent,12.011,87.989,0.3399546965635948,25102.789
Luxembourg,2,Fossil Dependent,9.928,90.072,0.31236529246762335,67493.578
Macao,1,Fossil Dependent,7.152,87.331,0.3312192902114619,17740.322
Madagascar,1,Fossil Dependent,7.152,87.331,0.04142657357071501,527.316
Malawi,1,Fossil Dependent,7.152,87.331,0.004988211857737794,414.817
Malaysia,2,Fossil Dependent,7.646,92.354,3.124926711674012,36500.762
Maldives,1,Fossil Dependent,7.152,87.331,1.0074336982697327,12536.174
Mali,1,Fossil Dependent,7.152,87.331,0.07325144447158619,1272.093
Malta,2,Fossil Dependent,7.152,87.331,2.1358434579305583,67572.727
Mauritania,1,Fossil Dependent,7.152,87.331,0.15839914641867978,3711.977
Mauritius,1,Fossil Dependent,7.152,87.331,1.4691769795596845,16870.012
Mexico,1,Fossil Dependent,9.538,89.121,1.1744784301654319,17223.479
Moldova,1,Fossil Dependent,7.152,87.331,1.4716679123481207,14385.653
Mongolia,1,Fossil Dependent,7.152,87.331,1.7875985574648559,18217.949
Montenegro,1,Fossil Dependent,7.152,87.331,2.5006044507447163,18423.676
Montserrat,1,Fossil Dependent,7.152,87.331,2.2197558268590454,24293.627
Morocco,1,Fossil Dependent,7.126,92.874,0.7152049348978146,7275.982
Mozambique,1,Fossil Dependent,7.152,87.331,0.07821419828649091,1653.995
Myanmar,1,Fossil Dependent,7.152,87.331,0.18131719939926316,2767.67
